Member ID,Loan  ID,Origination Date,Interest Rate,Amount Funded,Borrower Total Debt,Annual Income,Balance on Revolving Accounts,Total Revolving Credit Line,Term,Grade
1805383,601168,1/1/2018,20.49," 35,000 "," 292,774 "," 110,000 "," 31,688 "," 42,900 ",60,E
1807246,601187,1/1/2018,17.27," 10,500 "," 266,580 "," 55,000 "," 8,256 "," 16,700 ",60,C
1808638,601201,1/1/2018,16.29," 11,500 "," 120,659 "," 55,000 "," 11,890 "," 26,600 ",36,C
1814637,601209,1/1/2018,15.31," 13,600 "," 10,280 "," 59,000 "," 10,280 "," 13,900 ",36,C
1816043,601229,1/1/2018,15.31," 18,000 "," 272,481 "," 60,000 "," 24,505 "," 35,400 ",60,C
1824473,601245,1/1/2018,11.14," 32,875 "," 253,863 "," 110,000 "," 28,586 "," 71,500 ",36,B
1826053,601251,1/1/2018,6.62," 14,000 "," 31,656 "," 65,000 "," 1,469 "," 21,400 ",36,A
1826598,601262,1/1/2018,6.62," 12,400 "," 181,021 "," 87,000 "," 13,608 "," 48,600 ",36,A
1830278,601267,1/1/2018,13.11," 9,950 "," 21,018 "," 30,000 "," 21,018 "," 32,200 ",36,B
1839513,601286,1/1/2018,13.11," 10,000 "," 19,350 "," 65,000 "," 4,483 "," 13,200 ",36,B
1841316,601292,1/1/2018,13.11," 22,750 "," 38,859 "," 58,500 "," 33,281 "," 75,000 ",60,B
1845096,601299,1/1/2018,14.09," 7,200 "," 167,086 "," 60,000 "," 10,304 "," 18,000 ",36,B
1847032,601304,1/1/2018,14.33," 9,600 "," 58,637 "," 90,000 "," 8,693 "," 13,500 ",36,C
1852419,601311,1/1/2018,19.72," 17,000 "," 29,539 "," 70,000 "," 29,539 "," 47,600 ",60,D
1864553,601320,1/1/2018,12.12," 10,000 "," 34,708 "," 46,000 "," 10,893 "," 18,200 ",36,B
1867109,601322,1/1/2018,14.33," 21,600 "," 219,226 "," 120,000 "," 9,797 "," 10,800 ",36,C
1873632,601332,1/1/2018,10.16," 10,000 "," 28,146 "," 62,000 "," 28,146 "," 37,100 ",60,B
1886885,601337,1/1/2018,19.05," 16,000 "," 94,730 "," 54,380 "," 12,294 "," 17,800 ",60,D
